Nome planejador,Status ordem de produção,Tipo de Ordem de produção/planeada,Ordem Venda / Transferência,Item OV/Transferência,Ship to,Responsável SAC,Ordem de produção / planeada,Data-base do início,Data-base do fim,Data desejada de saída de mercadoria,Semana saída de mercadoria,Material de produção,Texto breve de material,Quantidade total da ordem,Componente,Descritivo componente,Qtd.necessária,Descritivo de Centro de Trabalho,Centro de trabalho,Duração da operação,País Destino,Quantidade fornecida ordem de produção
CRM - Transformaçã,LIB,ZRPL,3823000534,10,,,1600107058,21/10/2021,23/10/2021,,0,70006319,"PL CR 2549/000 915X457X1,5 NE",26 680.000,70007046,"PL CR 2549/000 915X915X1,5 NE",13 340.000,CRM-GUILHOTINA BORRACHA,CRMGUILH,23.821,,0.000
CRM - Transformaçã,LIB,ZRPL,3823000534,10,,,1600107059,21/10/2021,23/10/2021,,0,70007046,"PL CR 2549/000 915X915X1,5 NE",13 340.000,70000861,BL CR 2549/000 915X915X152 NE,139.003,CRM-LAMINADORA PLACAS BORRACHA,CRMLAMPL,30.816,,0.000
CRM - Transformaçã,LIB,ZRPE,3823000527,100,"AMORIM CORK COMPOSITES, INC",RFERNANDES,1600073657,22/10/2021,22/10/2021,25/10/2021,202143,70002009,"PL CR N733/000 915X915X7,5 01",2 025.000,70006309,"PL CR N733/000 915X915X7,5 NE",2 025.000,CRM-EMBALAGEM BORRACHA,CRMEMBPL,6.750,US,375.000
CRM - Transformaçã,LIB,ZRPL,3823000527,100,,,1600073658,22/10/2021,23/10/2021,,0,70006309,"PL CR N733/000 915X915X7,5 NE",2 025.000,70000783,BL CR N733/000 915X915X152 NE,105.503,CRM-LAMINADORA PLACAS BORRACHA,CRMLAMPL,16.686,,378.000
CRM - Transformaçã,,KD,3823000504,50,,,384907077,22/10/2021,22/10/2021,,0,71000072,QD CI 5351/OCL 1851-Z 164 NE,1.000,71000913,QD CI 5351/000 185-1Z 164 NE,1.000,CRM-COLAR QUADROS,CRMCOLQD,0.022,,0.000
CRM - Transformaçã,,KD,3823000504,60,,,384907079,28/10/2021,28/10/2021,,0,71000076,QD CR GT46/OCL 227-Z 150 NE,2.000,71000805,QD CR GT46/000 227-Z 150 NE,2.000,CRM-COLAR QUADROS,CRMCOLQD,0.050,,0.000
CRM - Transformaçã,,KD,3823000504,80,,,384907080,21/10/2021,21/10/2021,,0,71000081,QD CI 5351/OCL 27-Z 164 NE,5.000,71000917,QD CI 5351/000 27-Z 164 NE,5.000,CRM-COLAR QUADROS,CRMCOLQD,0.156,,0.000
CRM - Transformaçã,,KD,3823000504,60,,,384907325,29/10/2021,29/10/2021,,0,71000805,QD CR GT46/000 227-Z 150 NE,2.000,70000766,BL CR GT46/000 1270X660X152 NE,0.338,CRM-SERRA 05,CRMSER05,0.171,,0.000
CRM - Transformaçã,,KD,3823000504,50,,,384907329,22/10/2021,22/10/2021,,0,71000913,QD CI 5351/000 185-1Z 164 NE,1.000,70000956,BL CI 5351/000 950X650X200 NE,0.195,CRM-SERRA 05,CRMSER05,0.094,,0.000
CRM - Transformaçã,,KD,3823000504,80,,,384910725,22/10/2021,22/10/2021,,0,71000917,QD CI 5351/000 27-Z 164 NE,5.000,70000956,BL CI 5351/000 950X650X200 NE,1.456,CRM-SERRA 05,CRMSER05,0.459,,0.000
CCS,LIB,ZCEJ,3823000504,40,"AMORIM CORK COMPOSITES, INC",RFERNANDES,1600072801,21/10/2021,21/10/2021,25/10/2021,202143,71000128,"JT CI 5351/000 104-Z 2,4 00",2 000.000,71001230,"JT CI 5351/000 104-Z 2,4 NE",2 000.000,CCS-EMBALAGEM JUNTAS,CCSEMBJT,0.001,US,2 175.000
CCS,LIB,ZCEJ,3823000504,50,"AMORIM CORK COMPOSITES, INC",RFERNANDES,1600072802,21/10/2021,21/10/2021,25/10/2021,202143,71000130,"JT CI 5351/000 1851-Z 2,4 00",2 000.000,71001241,"JT CI 5351/000 1851-Z 2,4 NE",2 000.000,CCS-EMBALAGEM JUNTAS,CCSEMBJT,0.001,US,0.000
CCS,LIB,ZCJT,3823000504,50,,,1600072803,21/10/2021,21/10/2021,,0,71001241,"JT CI 5351/000 1851-Z 2,4 NE",2 000.000,71000428,"FQ CI 5351/000 1851-Z 2,4 NE",1 000.000,CCS-CUNHAGEM JUNTAS,CCSBALJT,0.680,,0.000
CRM - Transformaçã,LIB,ZRPL,3823000504,50,,,1600072804,21/10/2021,22/10/2021,,0,71000428,"FQ CI 5351/000 1851-Z 2,4 NE",1 000.000,71000072,QD CI 5351/OCL 1851-Z 164 NE,14.000,CRM-LAMINADORA PLACAS BORRACHA,CRMLAMPL,2.577,,0.000
CRM - Transformaçã,LIB,ZRSE,3823000504,50,,,1600072805,21/10/2021,22/10/2021,,0,71000072,QD CI 5351/OCL 1851-Z 164 NE,13.000,71000913,QD CI 5351/000 185-1Z 164 NE,13.000,CRM-COLAR QUADROS,CRMCOLQD,0.282,,13.000
CRM - Transformaçã,LIB,ZRSE,3823000504,50,,,1600072806,21/10/2021,21/10/2021,,0,71000913,QD CI 5351/000 185-1Z 164 NE,13.000,70000956,BL CI 5351/000 950X650X200 NE,2.523,CRM-SERRA 05,CRMSER05,1.219,,13.000
CCS,LIB,ZCJT,3823000504,40,,,1600072807,21/10/2021,21/10/2021,,0,71001230,"JT CI 5351/000 104-Z 2,4 NE",2 000.000,71000417,"FQ CI 5351/000 104-Z 2,4 NE",1 000.000,CCS-CUNHAGEM JUNTAS,CCSBALJT,1.241,,2 175.000
CRM - Transformaçã,LIB,ZRPL,3823000504,40,,,1600072808,21/10/2021,22/10/2021,,0,71000417,"FQ CI 5351/000 104-Z 2,4 NE",1 000.000,71000039,QD CI 5351/OCL 104-Z 164 NE,12.000,CRM-LAMINADORA PLACAS BORRACHA,CRMLAMPL,2.763,,1 062.000
CCS,ABER,ZCEJ,3823000504,60,"AMORIM CORK COMPOSITES, INC",RFERNANDES,1600072811,28/10/2021,28/10/2021,25/10/2021,202144,71000135,"JT CR GT46/PUK 227-Z 1,6 00",14 400.000,71001263,"JT CR GT46/PUK 227-Z 1,6 NE",14 400.000,CCS-EMBALAGEM JUNTAS,CCSEMBJT,0.004,US,0.000
CCS,ABER,ZCJT,3823000504,60,,,1600072812,28/10/2021,28/10/2021,,0,71001263,"JT CR GT46/PUK 227-Z 1,6 NE",14 400.000,71000461,"FQ CR GT46/PUK 227-Z 1,6 NE",7 200.000,CCS-CUNHAGEM JUNTAS,CCSBALJT,9.195,,0.000
CRM - Transformaçã,ABER,ZRPL,3823000504,60,,,1600072813,28/10/2021,29/10/2021,,0,71000461,"FQ CR GT46/PUK 227-Z 1,6 NE",7 200.000,71000076,QD CR GT46/OCL 227-Z 150 NE,79.000,CRM-LAMINADORA PLACAS BORRACHA,CRMLAMPL,12.500,,0.000
CRM - Transformaçã,ABER,ZRSE,3823000504,60,,,1600072814,28/10/2021,29/10/2021,,0,71000076,QD CR GT46/OCL 227-Z 150 NE,77.000,71000805,QD CR GT46/000 227-Z 150 NE,77.000,CRM-COLAR QUADROS,CRMCOLQD,1.925,,0.000
